STATEFP,ELSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,UNSDLEA,layer,path
"41",,"4101230",Amity School District 4J,"00",KG,"12",G5420,,E,"197895518","646710","+45.0930097","-123.1905627","01230",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101350",Annex School District 29,"00",KG,"12",G5420,,E,"430093857","5698756","+44.2073251","-117.2079015","01350",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101470",Arlington School District 3,"00",KG,"12",G5420,,E,"921194728","43094992","+45.6303392","-120.2190308","01470",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101500",Arock School District 81,"00",KG,"12",G5420,,E,"4554225281","5333103","+43.0501681","-117.8428014","01500",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101560",Ashland School District 5,"00",KG,"12",G5420,,E,"947263419","12197089","+42.1900163","-122.5645355","01560",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101590",Ashwood School District 8,"00",KG,"12",G5420,,E,"1110402084","319758","+44.6613371","-120.6140461","01590",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101620",Astoria School District 1,"00",KG,"12",G5420,,E,"587772134","130616324","+46.1068247","-123.7510373","01620",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101660",Athena-Weston School District 29J,"00",KG,"12",G5420,,E,"842122329","187897","+45.7453190","-118.3598234","01660",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101710",Baker School District 5J,"00",KG,"12",G5420,,E,"3386810947","11256329","+44.7823978","-117.7502692","01710",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101740",Burnt River School District 30J,"00",KG,"12",G5420,,E,"2996794732","6786948","+44.4262234","-118.0512644","01740",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101800",Bandon School District 54,"00",KG,"12",G5420,,E,"275154745","174510352","+43.1316531","-124.3899914","01800",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101830",Banks School District 13,"00",KG,"12",G5420,,E,"345021721","120288","+45.6866806","-123.1934306","01830",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101920",Beaverton School District 48J,"00",KG,"12",G5420,,E,"148315987","29221","+45.4957301","-122.8255214","01920",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4101980",Bend-La Pine Administrative School District 1,"00",KG,"12",G5420,,E,"4043742249","91315341","+43.8360961","-121.4163631","01980",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102040",Bethel School District 52,"00",KG,"12",G5420,,E,"78161885","5984129","+44.0921711","-123.2040742","02040",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102160",Blachly School District 090,"00",KG,"12",G5420,,E,"288742455","1299304","+44.1666875","-123.5747347","02160",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102190",Black Butte School District 41,"00",KG,"12",G5420,,E,"497944655","2185343","+44.5036831","-121.7081163","02190",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102310",Brookings-Harbor School District 17,"00",KG,"12",G5420,,E,"1375919894","195027891","+42.1378305","-124.1334329","02310",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102490",Harney County School District 3,"00",KG,"12",G5420,,E,"3390058540","2635138","+43.7200398","-119.1203883","02490",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102580",Butte Falls School District 91,"00",KG,"12",G5420,,E,"886133070","2375822","+42.5498902","-122.4602847","02580",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102610",Camas Valley School District 21J,"00",KG,"12",G5420,,E,"342999081","49164","+42.9567319","-123.7358306","02610",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102640",Canby School District 86,"00",KG,"12",G5420,,E,"226973984","2866142","+45.2330391","-122.6911249","02640",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102780",Cascade School District 5,"00",KG,"12",G5420,,E,"211766731","1121392","+44.8177870","-122.9101936","02780",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102800",Centennial School District 28J,"00",KG,"12",G5420,,E,"38224803","130196","+45.4763604","-122.4792576","02800",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102840",Central School District 13J,"00",KG,"12",G5420,,E,"400698760","3987312","+44.8165079","-123.2312196","02840",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102910",Central Linn School District 552,"00",KG,"12",G5420,,E,"485188971","2094317","+44.3994766","-123.0367881","02910",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4102940",Central Point School District 6,"00",KG,"12",G5420,,E,"596405964","4640159","+42.5082673","-122.9772141","02940",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103260",Clatskanie School District 6J,"00",KG,"12",G5420,,E,"298439822","28040557","+46.1005464","-123.2097095","03260",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103265",Rainier School District 13,"00",KG,"12",G5420,,E,"294422767","19678847","+46.0144280","-122.9747953","03265",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103270",Colton School District 53,"00",KG,"12",G5420,,E,"496997111","174670","+45.0754721","-122.3358577","03270",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103330",Condon School District 25J,"00",KG,"12",G5420,,E,"2122160194","3819725","+45.2530414","-120.2108054","03330",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103390",Coquille School District 8,"00",KG,"12",G5420,,E,"419847676","2899730","+43.2203103","-124.1163066","03390",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103420",Corbett School District 39,"00",KG,"12",G5420,,E,"465361667","20595279","+45.5685304","-122.0445034","03420",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103480",Corvallis School District 509J,"00",KG,"12",G5420,,E,"490181609","4441629","+44.5524805","-123.2919605","03480",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103540",Cove School District 15,"00",KG,"12",G5420,,E,"517334263","539926","+45.3543012","-117.7564700","03540",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103660",Coos Bay School District 9,"00",KG,"12",G5420,,E,"1019230953","184739923","+43.3902729","-124.0462653","03660",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103690",Creswell School District 40,"00",KG,"12",G5420,,E,"183931959","243087","+43.9102069","-123.0348605","03690",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103720",Crook County School District,"00",KG,"12",G5420,,E,"9479188666","21991790","+44.0633649","-120.3832837","03720",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103780",Crow-Applegate-Lorane Sd 66,"00",KG,"12",G5420,,E,"659704266","187082","+43.8723587","-123.3554649","03780",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103840",Culver School District 4,"00",KG,"12",G5420,,E,"839476568","9947067","+44.4997319","-121.3268316","03840",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103860",Dallas School District 2,"00",KG,"12",G5420,,E,"609926428","283302","+44.9417824","-123.7223681","03860",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103940",David Douglas School District 40,"00",KG,"12",G5420,,E,"28043640","49289","+45.4978793","-122.5382188","03940",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103960",Days Creek School District 15,"00",KG,"12",G5420,,E,"2070049717","542381","+42.9872545","-122.7825805","03960",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4103990",Dayton School District 8,"00",KG,"12",G5420,,E,"146507297","3064435","+45.1939760","-123.0652565","03990",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104020",Dayville School District 16J,"00",KG,"12",G5420,,E,"1138764763","32070","+44.3851264","-119.4962730","04020",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104350",North Douglas School District 22,"00",KG,"12",G5420,,E,"508105397","56517","+43.7597629","-123.4036530","04350",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104410",Dufur School District 29,"00",KG,"12",G5420,,E,"1287051074","10304068","+45.4368880","-121.1338078","04410",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104500",Eagle Point School District 9,"00",KG,"12",G5420,,E,"1686205022","11726156","+42.7354527","-122.9164807","04500",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104530",Echo School District 5,"00",KG,"12",G5420,,E,"553634082","738","+45.6819388","-119.2326637","04530",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104590",Elgin School District 23,"00",KG,"12",G5420,,E,"952997545","391729","+45.6660646","-117.8942184","04590",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104620",Elkton School District 34,"00",KG,"12",G5420,,E,"782062384","8815193","+43.6412027","-123.6042323","04620",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104700",Estacada School District 108,"00",KG,"12",G5420,,E,"1825577824","9704525","+45.0986475","-122.0560139","04700",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104740",Eugene School District 4J,"00",KG,"12",G5420,,E,"382746369","12554526","+44.0785136","-123.2753693","04740",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4104950",Fern Ridge School District 28J,"00",KG,"12",G5420,,E,"542671432","21081821","+44.0138359","-123.5223997","04950",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105080",Enterprise School District 21,"00",KG,"12",G5420,,E,"2112918821","1015176","+45.7675945","-117.1601225","05080",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105100",Siuslaw School District 97J,"00",KG,"12",G5420,,E,"571903030","259099142","+44.0106633","-124.0842489","05100",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105160",Forest Grove School District 15,"00",KG,"12",G5420,,E,"491423118","4268549","+45.5570098","-123.2581874","05160",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105250",Fossil School District 21J,"00",KG,"12",G5420,,E,"1619448653","1161384","+44.9231589","-120.2196697","05250",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105430",Gaston School District 511J,"00",KG,"12",G5420,,E,"157427671","1225609","+45.4481100","-123.2750916","05430",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105610",Gladstone School District 115,"00",KG,"12",G5420,,E,"5986347","95157","+45.3856499","-122.5928265","05610",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105640",Glendale School District 77,"00",KG,"12",G5420,,E,"774478307","95541","+42.7751544","-123.3548262","05640",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105670",Glide School District 12,"00",KG,"12",G5420,,E,"3318963366","19450579","+43.2802522","-122.6249232","05670",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105760",Central Curry School District 1,"00",KG,"12",G5420,,E,"2028906940","368611908","+42.5303375","-124.1796764","05760",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4105910",Grants Pass School District 7,"00",KG,"12",G5420,,E,"62885739","458505","+42.4293338","-123.3443389","05910",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106000",Gresham-Barlow School District 1J,"00",KG,"12",G5420,,E,"129084034","725277","+45.4655943","-122.3908811","06000",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106120",Harper School District 66,"00",KG,"12",G5420,,E,"3038276985","448758","+43.7959757","-117.7611438","06120",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106270",Helix School District 1,"00",KG,"12",G5420,,E,"578342290","5869","+45.9095477","-118.7904971","06270",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106300",Hermiston School District 8,"00",KG,"12",G5420,,E,"398054330","28263505","+45.8608244","-119.2169919","06300",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4106510",Hood River County School District 1,"00",KG,"12",G5420,,E,"1352203435","29040409","+45.5117753","-121.6559762","06510",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
